STATE,AFGHANISTAN,ANGOLA,ARMENIA,AZERBAIJAN,BAHAMAS,BANGLADESH,BELARUS,BHUTAN,BOTSWANA,BURMA,BURUNDI,CAMBODIA,CAMEROON,CENTRAL AFRICAN REPUBLIC,CHAD,CHINA,COLOMBIA,CONGO,CUBA,DEM. REP. CONGO,DJIBOUTI,ECUADOR,EGYPT,EQUATORIAL GUINEA,ERITREA,ETHIOPIA,GABON,GEORGIA,GUINEA,INDIA,INDONESIA,IRAN,IRAQ,IVORY COAST,JAMAICA,JORDAN,KAZAKHSTAN,KENYA,KOREA NORTH,KUWAIT,KYRGYZSTAN,LEBANON,LIBERIA,MALAYSIA,MALI,MOLDOVA,NAMIBIA,NEPAL,NETHERLANDS,NIGERIA,PAKISTAN,PALESTINE,PHILIPPINES,REPUBLIC OF SOUTH SUDAN,RUSSIA,RWANDA,SAUDI ARABIA,SENEGAL,SIERRA LEONE,SOMALIA,SOUTH AFRICA,SRI LANKA (CEYLON),STATELESS CITIZENSHIP,SUDAN,SYRIA,TANZANIA,THAILAND,THE GAMBIA,TOGO,TUNISIA,TURKEY,TURKMENISTAN,UGANDA,UKRAINE,UNITED KINGDOM,UZBEKISTAN,VIETNAM,YEMEN,ZIMBABWE
IOWA,0,0,0,0,0,0,0,103,0,406,10,0,2,0,0,0,0,0,2,102,0,0,0,0,36,6,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,33,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0
KANSAS,6,0,0,0,0,0,0,42,0,352,4,0,0,1,0,0,0,0,1,145,0,0,0,0,47,4,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,60,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KENTUCKY,5,2,0,0,0,0,0,195,0,492,48,0,0,0,0,0,0,1,66,359,0,0,0,0,1,3,0,0,0,2,1,2,311,8,0,1,0,1,2,0,0,3,0,0,0,5,0,4,0,0,2,0,0,0,0,3,0,0,0,360,0,9,0,40,63,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LOUISIANA,6,0,0,0,0,0,0,3,0,34,4,0,0,1,0,0,11,0,7,16,0,1,0,0,8,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MAINE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,3,3,0,0,0,0,0,1,205,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARYLAND,19,0,0,0,0,0,4,68,0,562,44,0,0,12,0,0,0,0,7,208,0,0,0,0,126,39,0,0,1,0,0,43,169,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,4,0,0,0,18,1,0,0,1,18,0,0,0,114,35,0,0,0,0,0,0,0,0,3,0,0,0,3,0
MASSACHUSETTS,32,0,0,0,0,0,4,204,0,68,40,0,1,30,0,4,0,0,2,196,0,0,0,0,33,32,0,0,1,1,0,19,399,1,0,1,12,2,0,0,14,0,0,0,0,25,0,5,0,1,1,6,0,3,1,3,0,1,1,391,0,6,0,33,70,0,0,0,0,0,0,0,5,34,0,0,1,4,1
MICHIGAN,33,0,0,0,0,0,0,119,0,434,53,0,0,1,1,0,4,6,3,242,0,0,1,0,29,5,0,0,0,0,0,22,1434,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,1,0,0,9,0,11,1,0,0,294,0,9,0,96,180,0,0,0,0,1,0,0,0,7,0,0,0,8,3
MINNESOTA,0,0,0,0,0,0,1,50,0,906,0,0,0,0,0,0,0,5,0,31,2,0,0,0,17,55,1,0,1,1,0,4,99,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,1,0,0,8,0,1,0,0,1023,0,12,0,14,7,0,2,0,0,0,0,0,0,33,0,0,3,0,0
MISSISSIPPI,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MISSOURI,7,0,0,0,0,0,0,82,0,241,5,0,0,17,0,0,12,0,27,315,0,0,0,0,62,32,0,0,0,0,1,6,225,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,11,7,0,0,0,301,0,0,0,26,29,0,0,0,0,0,0,0,1,18,0,0,0,0,0
NEBRASKA,0,0,0,0,0,0,0,176,0,652,3,0,0,0,0,0,0,5,4,9,0,0,0,0,0,0,0,0,0,1,0,19,163,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,0,26,0,1,0,0,0,88,0,0,0,22,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
NEVADA,13,0,0,0,0,0,0,8,0,44,33,0,1,0,0,2,13,2,37,117,0,0,0,0,63,26,0,0,0,0,0,74,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,93,0,0,0,23,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NEW HAMPSHIRE,0,0,0,0,0,0,0,60,0,58,24,0,0,0,0,0,0,0,0,182,0,0,0,0,1,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,8,0,0,0,32,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEW JERSEY,5,0,0,0,0,1,0,0,0,33,0,0,0,0,0,0,5,0,39,12,0,0,0,0,6,7,0,0,0,0,0,5,72,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,1,18,0,5,0,17,73,0,0,0,0,0,0,0,0,6,0,0,0,0,0
NEW MEXICO,36,0,0,0,0,0,0,0,0,6,29,0,0,0,0,0,13,0,8,41,0,1,0,0,0,0,0,0,0,0,0,4,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEW YORK,78,0,1,12,0,0,21,477,0,1257,43,0,0,13,1,10,3,6,44,372,0,0,5,0,57,21,0,0,0,4,4,26,419,7,0,3,0,1,0,7,0,1,0,0,0,8,0,17,0,0,20,14,0,0,38,8,0,0,0,791,0,7,2,102,41,0,0,1,0,0,0,0,7,97,0,6,0,0,0
